City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
246,Menongue,AO,-14.6585,17.691,44.82,58,0,4.47,clear sky
247,Sorokino,RU,53.75,84.9167,61.0,72,17,6.69,few clouds
248,Eastleigh,GB,50.9667,-1.35,75.88,34,5,1.01,clear sky
249,Riyadh,SA,24.6877,46.7219,87.94,14,77,8.23,broken clouds
250,Camana,PE,-16.6228,-72.7111,61.41,81,100,8.68,overcast clouds
251,Padang,ID,-0.9492,100.3543,80.65,58,9,1.01,clear sky
252,Ilulissat,GL,69.2167,-51.1,46.42,71,75,2.3,broken clouds
253,Kodiak,US,57.79,-152.4072,60.31,63,0,5.75,clear sky
254,Merauke,ID,-8.4667,140.3333,79.36,81,76,14.88,broken clouds
255,Elva,EE,58.2225,26.4211,57.34,96,100,3.44,overcast clouds
256,Piacabucu,BR,-10.4056,-36.4344,73.47,82,20,12.15,few clouds
257,Vanavara,RU,60.34,102.2797,64.78,77,100,6.67,overcast clouds
258,Port Elizabeth,ZA,-33.918,25.5701,58.32,96,75,3.44,broken clouds
259,Awjilah,LY,29.1081,21.2869,77.97,42,0,9.13,clear sky
260,Sobolevo,RU,54.4299,31.8996,48.96,95,80,5.44,broken clouds
261,Ancud,CL,-41.8697,-73.8203,41.23,85,24,9.55,few clouds
262,Teluknaga,ID,-6.0989,106.6381,87.64,83,20,4.61,haze
263,Karasjok,NO,69.4719,25.5112,50.45,93,85,5.17,overcast clouds
264,Mar Del Plata,AR,-38.0023,-57.5575,42.94,85,0,4.0,clear sky
265,Boende,CD,-0.2167,20.8667,69.73,98,100,2.98,light rain
266,Dabat,ET,12.9842,37.765,53.64,80,79,2.35,broken clouds
267,Acapulco,MX,16.8634,-99.8901,84.02,79,40,8.05,scattered clouds
268,Mattru,SL,7.6244,-11.8332,72.64,95,100,5.3,overcast clouds
269,Ucluelet,CA,48.9329,-125.5528,63.09,81,3,1.99,clear sky
270,Abaza,RU,52.655,90.0928,62.24,63,95,5.01,light rain
271,Moree,AU,-29.4667,149.85,56.55,43,0,4.38,clear sky
272,Paamiut,GL,61.994,-49.6678,44.37,79,100,5.32,overcast clouds
273,Taoudenni,ML,22.6783,-3.9836,93.78,10,3,4.56,clear sky
274,Mindelo,CV,16.8901,-24.9804,76.55,73,75,29.93,broken clouds
275,Grand-Lahou,CI,5.1367,-5.0242,75.22,78,100,11.07,overcast clouds
276,Carman,CA,49.4992,-98.0016,76.89,83,3,10.11,clear sky
277,Samarai,PG,-10.6167,150.6667,81.21,78,25,8.72,scattered clouds
278,Talakan,RU,50.3167,130.3667,73.65,72,100,3.27,overcast clouds
279,Stephenville,US,32.2207,-98.2023,98.82,25,40,9.22,scattered clouds
280,Kavieng,PG,-2.5744,150.7967,84.29,70,100,11.95,light rain
281,San Cristobal,VE,7.7669,-72.225,69.98,89,99,1.39,overcast clouds
282,Killam,CA,52.7834,-111.8518,71.55,78,95,3.44,overcast clouds
283,Saint-Joseph,RE,-21.3667,55.6167,66.58,72,35,18.86,scattered clouds
284,Opuwo,NA,-18.0607,13.84,54.23,41,0,3.85,clear sky
285,Leningradskiy,RU,69.3833,178.4167,34.41,98,100,17.09,light snow
286,Broome,US,42.2506,-75.833,72.7,85,100,11.5,overcast clouds
287,Esperance,AU,-33.8667,121.9,57.45,78,5,7.74,clear sky
288,Mpraeso,GH,6.5932,-0.7346,63.86,92,97,3.49,overcast clouds
289,Nanakuli,US,21.3906,-158.1547,84.15,61,100,5.75,overcast clouds
290,High Level,CA,58.5169,-117.136,78.91,38,75,5.75,broken clouds
291,Orange,US,33.7,-117.7675,92.53,57,40,9.22,scattered clouds
292,Iringa,TZ,-7.7667,35.7,54.95,81,26,9.6,scattered clouds
293,Faya,SA,18.3851,42.4509,66.72,39,68,1.92,broken clouds
294,Pisco,PE,-13.7,-76.2167,59.05,88,100,2.3,mist
295,Radviliskis,LT,55.8167,23.5333,57.25,100,100,4.61,overcast clouds
296,Mandalgovi,MN,45.7625,106.2708,77.05,25,100,18.28,overcast clouds
297,Dandong,CN,40.1292,124.3947,79.97,71,0,4.52,clear sky
298,Cabo San Lucas,MX,22.8909,-109.9124,88.61,63,20,3.44,few clouds
299,Quatre Cocos,MU,-20.2078,57.7625,68.11,69,92,21.39,light rain
300,Lorengau,PG,-2.0226,147.2712,82.44,73,100,5.03,overcast clouds
301,Paramirim,BR,-13.4425,-42.2389,63.64,63,0,5.91,clear sky
302,Millau,FR,44.0833,2.9167,78.93,65,0,6.35,clear sky
303,Arcata,US,40.8665,-124.0828,66.13,75,0,5.75,clear sky
304,Kahta,TR,37.7855,38.6237,79.97,46,0,6.67,clear sky
305,Ibra,OM,22.6906,58.5334,81.59,75,8,1.74,clear sky
306,Basco,PH,20.4487,121.9702,85.37,80,98,16.42,overcast clouds
307,Soe,ID,-9.8607,124.284,72.03,50,88,7.11,overcast clouds
308,Sovetskiy,RU,61.3614,63.5842,67.44,47,4,1.9,clear sky
309,Jasper,US,37.2001,-94.3502,83.88,53,0,6.64,clear sky
310,Vardo,NO,70.3705,31.1107,58.98,77,90,4.61,overcast clouds
311,Aranyosapati,HU,48.206,22.2592,58.26,59,13,3.56,few clouds
312,Akdepe,TM,42.0551,59.3788,86.09,27,0,8.72,clear sky
313,La Ronge,CA,55.1001,-105.2842,80.82,34,40,4.61,scattered clouds
314,Dawson Creek,CA,55.7666,-120.2362,73.04,46,20,17.27,few clouds
315,Pontes E Lacerda,BR,-15.2261,-59.3353,69.73,51,9,3.42,clear sky
316,Nuuk,GL,64.1835,-51.7216,48.81,76,100,1.14,overcast clouds
317,Mata,PT,40.683,-7.4592,63.93,91,64,5.93,broken clouds
318,Faanui,PF,-16.4833,-151.75,76.12,72,3,6.29,light rain
319,Ortona,IT,42.3496,14.4039,73.15,55,14,6.44,few clouds
320,Maltahohe,NA,-24.8333,16.9833,49.86,43,3,3.53,clear sky
321,Mezen,RU,65.8522,44.24,60.24,78,100,6.91,overcast clouds
322,Vicuna,CL,-30.0319,-70.7081,46.13,23,0,9.4,clear sky
323,Raudeberg,NO,61.9875,5.1352,52.95,83,68,7.76,broken clouds
324,Urumqi,CN,43.801,87.6005,76.15,44,0,4.47,clear sky
325,Maloy,NO,61.9353,5.1136,53.33,83,58,7.65,broken clouds
326,Mgandu,TZ,-5.95,34.1333,53.69,80,74,6.31,broken clouds
327,Cefalu,IT,38.0386,14.0229,82.54,62,0,1.01,clear sky
328,Kyra,RU,49.5776,111.9753,74.75,49,40,5.95,scattered clouds
329,Trinidad,BO,-14.8333,-64.9,72.84,68,10,0.98,clear sky
330,Seoul,KR,37.5683,126.9778,87.37,62,40,4.61,scattered clouds
331,Finspang,SE,58.7058,15.7674,56.1,90,92,3.44,overcast clouds
332,Muisne,EC,0.6,-80.0333,73.47,89,100,6.87,overcast clouds
333,Shingu,JP,33.7333,135.9833,81.57,87,100,11.95,light rain
334,Ulaanbaatar,MN,47.9077,106.8832,77.13,23,40,24.61,scattered clouds
335,Port Hardy,CA,50.6996,-127.4199,64.58,82,100,6.91,overcast clouds
336,Abu Kamal,SY,34.4506,40.9171,88.66,18,4,9.15,clear sky
337,Novobelokatay,RU,55.7062,58.9549,65.52,88,100,9.22,overcast clouds
338,Dwarka,IN,22.2394,68.9678,81.84,83,70,12.77,broken clouds
339,San Pedro,PH,14.35,121.0167,88.36,72,20,6.91,few clouds
340,Hambantota,LK,6.1241,81.1185,81.03,76,97,8.57,overcast clouds
341,Baykit,RU,61.67,96.37,57.69,96,100,2.91,light rain
342,Iwanai,JP,42.9744,140.5089,78.3,74,66,2.71,broken clouds
343,Mogadishu,SO,2.0371,45.3438,75.38,80,84,17.78,broken clouds
344,Kishapu,TZ,-3.6167,33.8667,63.23,67,89,10.71,overcast clouds
345,Kande,TG,9.9578,1.0447,71.46,90,100,3.44,overcast clouds
346,Dunedin,NZ,-45.8742,170.5036,46.45,85,100,1.54,light rain
347,Navoloki,RU,57.4657,41.9634,55.11,98,100,7.74,overcast clouds
348,Leh,IN,34.1667,77.5833,66.45,30,7,3.29,clear sky
349,Chifeng,CN,42.2683,118.9636,78.4,44,9,6.62,clear sky
