City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
498,Coruripe,BR,73.78,few clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
499,Kokoda,PG,81.57,overcast clouds,-8.8785,147.7407,Daito Guest House
500,Kattivakkam,IN,84.29,overcast clouds,13.2167,80.3167,Euronova Freezer
501,Salalah,OM,75.29,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
502,Zhicheng,CN,82.69,broken clouds,30.2956,111.5047,Wangjiang Building
505,Pemangkat,ID,83.7,overcast clouds,1.1667,108.9667,Ramah Kost KITA
506,Banapur,IN,84.22,overcast clouds,19.7833,85.1833,Digantika hotel
511,Riberalta,BO,73.81,clear sky,-10.9833,-66.1,Hotel Colonial
518,Payo,ID,81.86,overcast clouds,-3.7508,103.6372,Mess keban agung
522,North Bend,US,75.24,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
523,Hervey Bay,AU,70.02,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
526,Itacoatiara,BR,76.82,scattered clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
534,Korhogo,CI,70.34,overcast clouds,9.45,-5.6333,Hôtel Tchinbota
536,Port Keats,AU,83.68,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
541,Muncar,ID,79.0,broken clouds,-8.4333,114.3333,Zaky Homestay
542,Dongsheng,CN,75.99,overcast clouds,39.8161,109.9776,Crowne Plaza Ordos
545,Roebourne,AU,74.57,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
546,Camopi,GF,71.96,broken clouds,3.1655,-52.3158,La pousada
547,Woodstock,CA,70.66,clear sky,43.1334,-80.7497,"Holiday Inn Express & Suites Woodstock South, an IHG Hotel"
548,San Rafael Del Sur,NI,77.97,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
550,Biltine,TD,82.15,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
552,Erenhot,CN,81.45,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
